"SampleAce10_5Forg_10Flab_1 - RawData"
"Wavelength nm.","Abs."
200.00,3.97437
201.00,3.75883
202.00,3.84016
203.00,3.77438
204.00,4.00000
205.00,3.65518
206.00,3.79167
207.00,3.75829
208.00,3.98354
209.00,3.93752
210.00,3.96350
211.00,3.90248
212.00,3.92053
213.00,3.81848
214.00,3.90392
215.00,3.79112
216.00,3.54314
217.00,4.00000
218.00,3.85326
219.00,3.99185
220.00,3.93332
221.00,3.93906
222.00,3.92809
223.00,3.89647
224.00,4.00000
225.00,3.81238
226.00,3.93434
227.00,3.91516
228.00,3.99156
229.00,4.00000
230.00,3.95509
231.00,3.90172
232.00,3.97318
233.00,3.83800
234.00,3.95349
235.00,3.99727
236.00,3.96327
237.00,3.94649
238.00,3.94341
239.00,4.00000
240.00,3.97134
241.00,3.84431
242.00,3.94075
243.00,3.86974
244.00,3.88878
245.00,3.99655
246.00,3.93158
247.00,3.92772
248.00,3.89809
249.00,4.00000
250.00,3.84190
251.00,3.94247
252.00,3.91115
253.00,3.98375
254.00,3.80264
255.00,3.97211
256.00,3.93446
257.00,3.91055
258.00,3.91324
259.00,3.92801
260.00,3.99507
261.00,3.92662
262.00,3.95695
263.00,3.94339
264.00,3.94368
265.00,3.75264
266.00,4.00000
267.00,3.90601
268.00,3.95969
269.00,3.90068
270.00,3.81268
271.00,3.75148
272.00,3.90862
273.00,3.93137
274.00,3.83902
275.00,3.90070
276.00,3.94846
277.00,3.70679
278.00,3.79312
279.00,3.88556
280.00,3.88284
281.00,3.94397
282.00,3.80254
283.00,3.91289
284.00,3.86816
285.00,3.90381
286.00,3.90184
287.00,3.87581
288.00,3.66313
289.00,3.90991
290.00,3.94617
291.00,3.74376
292.00,3.88245
293.00,3.80370
294.00,3.97690
295.00,3.83673
296.00,3.72571
297.00,3.92278
298.00,4.00000
299.00,3.80817
300.00,3.66730
301.00,3.82178
302.00,3.56151
303.00,3.31686
304.00,2.92076
305.00,2.89215
306.00,2.87515
307.00,2.81905
308.00,2.63811
309.00,2.29631
310.00,2.09171
311.00,1.96407
312.00,1.81998
313.00,1.70160
314.00,1.65038
315.00,1.57930
316.00,1.50325
317.00,1.41809
318.00,1.29921
319.00,1.24692
320.00,1.39621
321.00,1.54630
322.00,1.40291
323.00,1.15698
324.00,0.96887
325.00,0.85976
326.00,0.79156
327.00,0.73569
328.00,0.68773
329.00,0.64493
330.00,0.61063
331.00,0.57997
332.00,0.55481
333.00,0.53339
334.00,0.51511
335.00,0.49956
336.00,0.48654
337.00,0.47302
338.00,0.46326
339.00,0.45213
340.00,0.44279
341.00,0.43172
342.00,0.42285
343.00,0.41432
344.00,0.40524
345.00,0.39723
346.00,0.38829
347.00,0.37990
348.00,0.37263
349.00,0.36455
350.00,0.35719
351.00,0.35004
352.00,0.34219
353.00,0.33565
354.00,0.32967
355.00,0.32217
356.00,0.31540
357.00,0.30911
358.00,0.30264
359.00,0.29660
360.00,0.29031
361.00,0.28505
362.00,0.27798
363.00,0.27325
364.00,0.26692
365.00,0.26115
366.00,0.25627
367.00,0.25122
368.00,0.24643
369.00,0.24193
370.00,0.23785
371.00,0.23343
372.00,0.22902
373.00,0.22548
374.00,0.22134
375.00,0.21797
376.00,0.21429
377.00,0.21117
378.00,0.20750
379.00,0.20432
380.00,0.20107
381.00,0.19798
382.00,0.19527
383.00,0.19250
384.00,0.18993
385.00,0.18723
386.00,0.18471
387.00,0.18271
388.00,0.17978
389.00,0.17772
390.00,0.17484
391.00,0.17300
392.00,0.17079
393.00,0.16855
394.00,0.16650
395.00,0.16457
396.00,0.16238
397.00,0.16029
398.00,0.15834
399.00,0.15657
400.00,0.15448
401.00,0.15268
402.00,0.15082
403.00,0.14923
404.00,0.14728
405.00,0.14575
406.00,0.14403
407.00,0.14233
408.00,0.14066
409.00,0.13885
410.00,0.13736
411.00,0.13574
412.00,0.13400
413.00,0.13254
414.00,0.13104
415.00,0.12982
416.00,0.12872
417.00,0.12735
418.00,0.12602
419.00,0.12463
420.00,0.12329
421.00,0.12193
422.00,0.12071
423.00,0.11940
424.00,0.11827
425.00,0.11694
426.00,0.11580
427.00,0.11475
428.00,0.11331
429.00,0.11212
430.00,0.11108
431.00,0.10997
432.00,0.10890
433.00,0.10785
434.00,0.10663
435.00,0.10565
436.00,0.10455
437.00,0.10352
438.00,0.10260
439.00,0.10162
440.00,0.10077
441.00,0.09964
442.00,0.09885
443.00,0.09772
444.00,0.09668
445.00,0.09587
446.00,0.09491
447.00,0.09410
448.00,0.09317
449.00,0.09236
450.00,0.09148
451.00,0.09068
452.00,0.08978
453.00,0.08908
454.00,0.08815
455.00,0.08740
456.00,0.08665
457.00,0.08578
458.00,0.08493
459.00,0.08418
460.00,0.08344
461.00,0.08270
462.00,0.08199
463.00,0.08127
464.00,0.08052
465.00,0.07973
466.00,0.07909
467.00,0.07848
468.00,0.07770
469.00,0.07700
470.00,0.07632
471.00,0.07582
472.00,0.07504
473.00,0.07446
474.00,0.07376
475.00,0.07320
476.00,0.07248
477.00,0.07188
478.00,0.07133
479.00,0.07077
480.00,0.07014
481.00,0.06952
482.00,0.06892
483.00,0.06833
484.00,0.06776
485.00,0.06728
486.00,0.06667
487.00,0.06616
488.00,0.06567
489.00,0.06512
490.00,0.06454
491.00,0.06409
492.00,0.06349
493.00,0.06306
494.00,0.06250
495.00,0.06213
496.00,0.06168
497.00,0.06117
498.00,0.06064
499.00,0.06021
500.00,0.05968
