"SampleAce20_5Forg_10Flab_3 - RawData"
"Wavelength nm.","Abs."
200.00,3.77823
201.00,3.88536
202.00,3.90912
203.00,3.82982
204.00,3.74173
205.00,3.76266
206.00,3.77191
207.00,3.72708
208.00,3.67831
209.00,3.82976
210.00,3.93015
211.00,3.77748
212.00,3.82526
213.00,3.80902
214.00,3.99667
215.00,3.94572
216.00,3.80354
217.00,3.78905
218.00,3.83907
219.00,3.93997
220.00,3.97174
221.00,3.97430
222.00,3.96069
223.00,4.00000
224.00,3.98534
225.00,3.85121
226.00,3.92677
227.00,3.97276
228.00,3.72794
229.00,3.96915
230.00,3.91879
231.00,3.92200
232.00,3.96686
233.00,4.00000
234.00,3.90848
235.00,4.00000
236.00,3.96959
237.00,3.91174
238.00,3.89636
239.00,3.97000
240.00,3.91946
241.00,3.93588
242.00,3.95444
243.00,4.00000
244.00,3.92700
245.00,3.91301
246.00,4.00000
247.00,3.95476
248.00,3.90167
249.00,3.97144
250.00,3.82784
251.00,3.91284
252.00,3.97514
253.00,3.88272
254.00,3.92450
255.00,3.88228
256.00,3.85461
257.00,3.79684
258.00,3.85127
259.00,3.98357
260.00,3.94901
261.00,3.95047
262.00,3.99484
263.00,3.97380
264.00,3.98138
265.00,3.86728
266.00,3.92784
267.00,3.94646
268.00,3.84558
269.00,3.73483
270.00,3.87833
271.00,3.88756
272.00,3.88725
273.00,3.86226
274.00,3.92592
275.00,3.88040
276.00,3.79446
277.00,3.90407
278.00,3.93553
279.00,3.70789
280.00,3.79306
281.00,3.83459
282.00,3.93643
283.00,3.94307
284.00,3.80975
285.00,3.90565
286.00,3.88925
287.00,3.92599
288.00,4.00000
289.00,3.96016
290.00,3.74413
291.00,3.77054
292.00,3.94914
293.00,3.72897
294.00,3.86760
295.00,3.62593
296.00,3.99648
297.00,3.79666
298.00,3.82687
299.00,3.89894
300.00,3.93130
301.00,3.88380
302.00,3.81783
303.00,3.93881
304.00,3.69229
305.00,3.56561
306.00,3.89320
307.00,3.88231
308.00,3.73270
309.00,3.56447
310.00,3.01611
311.00,2.99533
312.00,2.64407
313.00,2.43326
314.00,2.33546
315.00,2.23450
316.00,2.14743
317.00,1.97758
318.00,1.75313
319.00,1.68085
320.00,2.05504
321.00,2.49327
322.00,2.14215
323.00,1.60420
324.00,1.23009
325.00,1.02858
326.00,0.92409
327.00,0.84332
328.00,0.77377
329.00,0.71530
330.00,0.67010
331.00,0.63251
332.00,0.60068
333.00,0.57396
334.00,0.55103
335.00,0.53224
336.00,0.51678
337.00,0.50163
338.00,0.48737
339.00,0.47464
340.00,0.46107
341.00,0.44826
342.00,0.43616
343.00,0.42497
344.00,0.41368
345.00,0.40321
346.00,0.39253
347.00,0.38307
348.00,0.37450
349.00,0.36496
350.00,0.35602
351.00,0.34778
352.00,0.33876
353.00,0.33134
354.00,0.32321
355.00,0.31572
356.00,0.30794
357.00,0.30000
358.00,0.29263
359.00,0.28535
360.00,0.27808
361.00,0.27180
362.00,0.26512
363.00,0.25891
364.00,0.25194
365.00,0.24612
366.00,0.24071
367.00,0.23508
368.00,0.22955
369.00,0.22475
370.00,0.21999
371.00,0.21579
372.00,0.21132
373.00,0.20773
374.00,0.20311
375.00,0.19925
376.00,0.19521
377.00,0.19202
378.00,0.18887
379.00,0.18530
380.00,0.18239
381.00,0.17973
382.00,0.17676
383.00,0.17406
384.00,0.17169
385.00,0.16919
386.00,0.16653
387.00,0.16438
388.00,0.16220
389.00,0.16002
390.00,0.15770
391.00,0.15601
392.00,0.15373
393.00,0.15163
394.00,0.14963
395.00,0.14790
396.00,0.14575
397.00,0.14412
398.00,0.14217
399.00,0.14075
400.00,0.13885
401.00,0.13695
402.00,0.13531
403.00,0.13379
404.00,0.13223
405.00,0.13068
406.00,0.12924
407.00,0.12764
408.00,0.12602
409.00,0.12454
410.00,0.12302
411.00,0.12183
412.00,0.12009
413.00,0.11884
414.00,0.11729
415.00,0.11613
416.00,0.11501
417.00,0.11378
418.00,0.11240
419.00,0.11121
420.00,0.10997
421.00,0.10867
422.00,0.10750
423.00,0.10634
424.00,0.10538
425.00,0.10405
426.00,0.10303
427.00,0.10211
428.00,0.10085
429.00,0.09967
430.00,0.09879
431.00,0.09761
432.00,0.09656
433.00,0.09558
434.00,0.09465
435.00,0.09366
436.00,0.09270
437.00,0.09174
438.00,0.09084
439.00,0.08992
440.00,0.08907
441.00,0.08815
442.00,0.08722
443.00,0.08630
444.00,0.08540
445.00,0.08463
446.00,0.08382
447.00,0.08302
448.00,0.08208
449.00,0.08134
450.00,0.08066
451.00,0.07979
452.00,0.07899
453.00,0.07835
454.00,0.07744
455.00,0.07671
456.00,0.07605
457.00,0.07516
458.00,0.07443
459.00,0.07368
460.00,0.07306
461.00,0.07240
462.00,0.07167
463.00,0.07098
464.00,0.07028
465.00,0.06958
466.00,0.06909
467.00,0.06850
468.00,0.06773
469.00,0.06715
470.00,0.06647
471.00,0.06596
472.00,0.06525
473.00,0.06464
474.00,0.06406
475.00,0.06355
476.00,0.06288
477.00,0.06233
478.00,0.06172
479.00,0.06123
480.00,0.06056
481.00,0.06003
482.00,0.05957
483.00,0.05905
484.00,0.05849
485.00,0.05798
486.00,0.05739
487.00,0.05698
488.00,0.05649
489.00,0.05595
490.00,0.05554
491.00,0.05504
492.00,0.05455
493.00,0.05405
494.00,0.05359
495.00,0.05315
496.00,0.05275
497.00,0.05225
498.00,0.05176
499.00,0.05133
500.00,0.05093
