"SampleAce20_10Forg_10Flab_1 - RawData"
"Wavelength nm.","Abs."
200.00,3.88687
201.00,3.20030
202.00,3.69170
203.00,3.73233
204.00,3.74777
205.00,3.74712
206.00,3.83832
207.00,3.88547
208.00,3.90749
209.00,3.90654
210.00,3.86746
211.00,3.93539
212.00,3.77298
213.00,3.84253
214.00,3.96683
215.00,3.89920
216.00,3.89661
217.00,3.94374
218.00,3.83571
219.00,3.97058
220.00,3.79208
221.00,3.94923
222.00,4.00000
223.00,3.98044
224.00,3.85982
225.00,3.95816
226.00,3.78931
227.00,3.85419
228.00,3.96333
229.00,3.91478
230.00,3.97789
231.00,4.00000
232.00,3.98599
233.00,3.81683
234.00,3.95171
235.00,3.91406
236.00,3.94766
237.00,3.87567
238.00,3.94809
239.00,3.96553
240.00,3.94627
241.00,3.90579
242.00,3.93159
243.00,4.00000
244.00,3.95486
245.00,3.70193
246.00,3.92844
247.00,3.96802
248.00,3.92802
249.00,3.93947
250.00,3.87131
251.00,3.89667
252.00,3.91290
253.00,3.87000
254.00,3.96487
255.00,3.96774
256.00,3.97986
257.00,3.91731
258.00,3.95706
259.00,3.91812
260.00,3.94182
261.00,3.92920
262.00,3.88493
263.00,3.93887
264.00,3.96577
265.00,3.97295
266.00,3.92856
267.00,3.95305
268.00,3.97818
269.00,3.81410
270.00,3.94789
271.00,3.83656
272.00,3.84410
273.00,3.56241
274.00,4.00000
275.00,3.89745
276.00,3.78110
277.00,3.91873
278.00,3.79300
279.00,3.74437
280.00,3.77969
281.00,3.82533
282.00,3.70732
283.00,4.00000
284.00,3.82713
285.00,3.93217
286.00,3.94443
287.00,3.79996
288.00,3.77176
289.00,3.85364
290.00,3.87483
291.00,3.70746
292.00,3.77998
293.00,3.86598
294.00,3.87854
295.00,3.89476
296.00,3.91623
297.00,3.76990
298.00,3.87157
299.00,3.94423
300.00,3.80045
301.00,3.80412
302.00,3.76454
303.00,3.78217
304.00,3.73547
305.00,3.82768
306.00,3.69781
307.00,3.66310
308.00,3.84430
309.00,3.79767
310.00,3.90204
311.00,3.72003
312.00,3.73108
313.00,3.53906
314.00,3.74368
315.00,3.48412
316.00,3.58717
317.00,3.09196
318.00,2.56155
319.00,2.45178
320.00,3.15775
321.00,3.44884
322.00,3.60236
323.00,2.35815
324.00,1.70895
325.00,1.35904
326.00,1.17052
327.00,1.03580
328.00,0.92389
329.00,0.82910
330.00,0.76028
331.00,0.70163
332.00,0.65793
333.00,0.62325
334.00,0.59438
335.00,0.57104
336.00,0.55399
337.00,0.53642
338.00,0.51997
339.00,0.50493
340.00,0.49036
341.00,0.47504
342.00,0.46053
343.00,0.44702
344.00,0.43445
345.00,0.42291
346.00,0.41197
347.00,0.40082
348.00,0.39047
349.00,0.38147
350.00,0.37222
351.00,0.36404
352.00,0.35422
353.00,0.34708
354.00,0.33920
355.00,0.33229
356.00,0.32370
357.00,0.31624
358.00,0.30908
359.00,0.30185
360.00,0.29517
361.00,0.28865
362.00,0.28185
363.00,0.27551
364.00,0.26888
365.00,0.26222
366.00,0.25594
367.00,0.25078
368.00,0.24597
369.00,0.24118
370.00,0.23586
371.00,0.23082
372.00,0.22661
373.00,0.22221
374.00,0.21788
375.00,0.21408
376.00,0.21039
377.00,0.20711
378.00,0.20313
379.00,0.20021
380.00,0.19656
381.00,0.19382
382.00,0.19101
383.00,0.18750
384.00,0.18480
385.00,0.18217
386.00,0.17978
387.00,0.17763
388.00,0.17505
389.00,0.17273
390.00,0.17030
391.00,0.16811
392.00,0.16562
393.00,0.16336
394.00,0.16150
395.00,0.15950
396.00,0.15723
397.00,0.15549
398.00,0.15326
399.00,0.15152
400.00,0.14944
401.00,0.14767
402.00,0.14577
403.00,0.14426
404.00,0.14252
405.00,0.14093
406.00,0.13914
407.00,0.13763
408.00,0.13579
409.00,0.13422
410.00,0.13254
411.00,0.13091
412.00,0.12959
413.00,0.12796
414.00,0.12645
415.00,0.12534
416.00,0.12407
417.00,0.12291
418.00,0.12151
419.00,0.12012
420.00,0.11884
421.00,0.11751
422.00,0.11621
423.00,0.11501
424.00,0.11382
425.00,0.11250
426.00,0.11140
427.00,0.11028
428.00,0.10889
429.00,0.10777
430.00,0.10669
431.00,0.10550
432.00,0.10448
433.00,0.10335
434.00,0.10242
435.00,0.10133
436.00,0.10034
437.00,0.09918
438.00,0.09828
439.00,0.09737
440.00,0.09628
441.00,0.09538
442.00,0.09442
443.00,0.09343
444.00,0.09245
445.00,0.09163
446.00,0.09071
447.00,0.08984
448.00,0.08894
449.00,0.08803
450.00,0.08731
451.00,0.08635
452.00,0.08553
453.00,0.08478
454.00,0.08389
455.00,0.08310
456.00,0.08232
457.00,0.08148
458.00,0.08066
459.00,0.07997
460.00,0.07918
461.00,0.07845
462.00,0.07758
463.00,0.07692
464.00,0.07623
465.00,0.07549
466.00,0.07486
467.00,0.07417
468.00,0.07347
469.00,0.07280
470.00,0.07213
471.00,0.07147
472.00,0.07076
473.00,0.07016
474.00,0.06952
475.00,0.06889
476.00,0.06825
477.00,0.06764
478.00,0.06708
479.00,0.06642
480.00,0.06580
481.00,0.06528
482.00,0.06474
483.00,0.06415
484.00,0.06355
485.00,0.06305
486.00,0.06248
487.00,0.06197
488.00,0.06149
489.00,0.06090
490.00,0.06052
491.00,0.05997
492.00,0.05940
493.00,0.05888
494.00,0.05840
495.00,0.05794
496.00,0.05742
497.00,0.05693
498.00,0.05644
499.00,0.05603
500.00,0.05559
