"SampleAce20_10Forg_10Flab_2 - RawData"
"Wavelength nm.","Abs."
200.00,3.15860
201.00,3.82246
202.00,3.98242
203.00,4.00000
204.00,3.96507
205.00,3.87976
206.00,3.69354
207.00,3.87175
208.00,3.94460
209.00,3.89754
210.00,3.97525
211.00,4.00000
212.00,3.86969
213.00,3.99536
214.00,3.84442
215.00,3.90518
216.00,3.92021
217.00,3.93576
218.00,4.00000
219.00,4.00000
220.00,3.86571
221.00,3.93527
222.00,3.76823
223.00,3.85677
224.00,3.90993
225.00,3.89601
226.00,3.93527
227.00,3.79485
228.00,3.95538
229.00,4.00000
230.00,3.91058
231.00,4.00000
232.00,3.84087
233.00,4.00000
234.00,3.95975
235.00,3.98109
236.00,3.95369
237.00,3.92395
238.00,3.91644
239.00,3.92172
240.00,3.92435
241.00,3.92729
242.00,3.93011
243.00,3.99683
244.00,3.93974
245.00,3.96855
246.00,3.91948
247.00,3.99490
248.00,3.83258
249.00,3.90602
250.00,4.00000
251.00,3.90669
252.00,3.89604
253.00,3.90648
254.00,3.89142
255.00,3.92963
256.00,3.92255
257.00,3.92108
258.00,3.89793
259.00,3.89592
260.00,3.94812
261.00,3.94374
262.00,4.00000
263.00,3.76498
264.00,3.91534
265.00,3.80113
266.00,3.94777
267.00,4.00000
268.00,3.84836
269.00,3.96100
270.00,3.92154
271.00,3.97336
272.00,3.97469
273.00,3.89729
274.00,3.89563
275.00,3.93286
276.00,3.82986
277.00,3.77698
278.00,3.93416
279.00,3.93137
280.00,3.87509
281.00,3.91882
282.00,3.92537
283.00,3.90628
284.00,3.83795
285.00,3.89587
286.00,3.61353
287.00,3.81155
288.00,3.63156
289.00,3.85400
290.00,3.88985
291.00,3.88715
292.00,3.93694
293.00,3.80653
294.00,3.78777
295.00,3.82146
296.00,3.83331
297.00,3.87085
298.00,3.95340
299.00,3.90842
300.00,3.87193
301.00,3.87256
302.00,3.68059
303.00,3.86633
304.00,3.58855
305.00,3.74263
306.00,3.82310
307.00,3.91931
308.00,3.85172
309.00,3.71460
310.00,3.94658
311.00,3.84853
312.00,3.78349
313.00,3.73448
314.00,3.58293
315.00,3.63919
316.00,3.46228
317.00,3.29826
318.00,2.59302
319.00,2.44518
320.00,3.30542
321.00,3.64992
322.00,3.45831
323.00,2.37366
324.00,1.70871
325.00,1.35489
326.00,1.17114
327.00,1.03810
328.00,0.92705
329.00,0.83113
330.00,0.76143
331.00,0.70406
332.00,0.65875
333.00,0.62486
334.00,0.59491
335.00,0.57265
336.00,0.55431
337.00,0.53743
338.00,0.52188
339.00,0.50613
340.00,0.49008
341.00,0.47604
342.00,0.46062
343.00,0.44693
344.00,0.43648
345.00,0.42352
346.00,0.41251
347.00,0.40074
348.00,0.39143
349.00,0.38248
350.00,0.37283
351.00,0.36456
352.00,0.35603
353.00,0.34779
354.00,0.33929
355.00,0.33125
356.00,0.32358
357.00,0.31732
358.00,0.30913
359.00,0.30228
360.00,0.29495
361.00,0.28940
362.00,0.28169
363.00,0.27556
364.00,0.26836
365.00,0.26234
366.00,0.25621
367.00,0.25087
368.00,0.24622
369.00,0.24118
370.00,0.23625
371.00,0.23114
372.00,0.22647
373.00,0.22270
374.00,0.21803
375.00,0.21443
376.00,0.21080
377.00,0.20734
378.00,0.20364
379.00,0.20039
380.00,0.19678
381.00,0.19417
382.00,0.19109
383.00,0.18784
384.00,0.18533
385.00,0.18277
386.00,0.17984
387.00,0.17793
388.00,0.17537
389.00,0.17297
390.00,0.17035
391.00,0.16827
392.00,0.16606
393.00,0.16359
394.00,0.16161
395.00,0.15982
396.00,0.15765
397.00,0.15552
398.00,0.15375
399.00,0.15176
400.00,0.14983
401.00,0.14795
402.00,0.14619
403.00,0.14447
404.00,0.14273
405.00,0.14113
406.00,0.13934
407.00,0.13765
408.00,0.13594
409.00,0.13438
410.00,0.13277
411.00,0.13124
412.00,0.12973
413.00,0.12811
414.00,0.12651
415.00,0.12523
416.00,0.12427
417.00,0.12323
418.00,0.12170
419.00,0.12036
420.00,0.11902
421.00,0.11768
422.00,0.11627
423.00,0.11516
424.00,0.11404
425.00,0.11272
426.00,0.11151
427.00,0.11040
428.00,0.10924
429.00,0.10791
430.00,0.10678
431.00,0.10559
432.00,0.10471
433.00,0.10358
434.00,0.10248
435.00,0.10144
436.00,0.10043
437.00,0.09937
438.00,0.09845
439.00,0.09749
440.00,0.09654
441.00,0.09561
442.00,0.09471
443.00,0.09360
444.00,0.09251
445.00,0.09172
446.00,0.09081
447.00,0.08998
448.00,0.08902
449.00,0.08826
450.00,0.08743
451.00,0.08655
452.00,0.08571
453.00,0.08490
454.00,0.08405
455.00,0.08313
456.00,0.08252
457.00,0.08168
458.00,0.08087
459.00,0.08012
460.00,0.07936
461.00,0.07866
462.00,0.07776
463.00,0.07715
464.00,0.07642
465.00,0.07561
466.00,0.07507
467.00,0.07439
468.00,0.07367
469.00,0.07291
470.00,0.07231
471.00,0.07169
472.00,0.07100
473.00,0.07028
474.00,0.06972
475.00,0.06911
476.00,0.06839
477.00,0.06772
478.00,0.06721
479.00,0.06664
480.00,0.06599
481.00,0.06543
482.00,0.06480
483.00,0.06427
484.00,0.06364
485.00,0.06316
486.00,0.06255
487.00,0.06213
488.00,0.06166
489.00,0.06111
490.00,0.06062
491.00,0.06009
492.00,0.05952
493.00,0.05902
494.00,0.05850
495.00,0.05806
496.00,0.05754
497.00,0.05707
498.00,0.05656
499.00,0.05608
500.00,0.05563
