"SampleAce10_5Forg_10Flab_2 - RawData"
"Wavelength nm.","Abs."
200.00,4.00000
201.00,3.79532
202.00,3.76923
203.00,3.90538
204.00,3.73175
205.00,3.81320
206.00,3.79759
207.00,3.86267
208.00,3.76991
209.00,3.98741
210.00,4.00000
211.00,3.78116
212.00,3.88277
213.00,3.77222
214.00,3.88875
215.00,3.91693
216.00,3.88031
217.00,4.00000
218.00,3.90617
219.00,3.99185
220.00,3.85089
221.00,3.93088
222.00,3.93747
223.00,3.85359
224.00,3.97093
225.00,3.91826
226.00,3.94893
227.00,3.93756
228.00,3.85661
229.00,3.88419
230.00,3.90479
231.00,4.00000
232.00,3.95050
233.00,3.94846
234.00,3.92291
235.00,3.99745
236.00,3.93890
237.00,3.91467
238.00,4.00000
239.00,3.83482
240.00,3.91371
241.00,3.92433
242.00,3.97771
243.00,3.89612
244.00,3.97646
245.00,3.98775
246.00,3.98737
247.00,3.96373
248.00,3.97292
249.00,3.96268
250.00,3.97176
251.00,3.97116
252.00,3.87657
253.00,3.95296
254.00,3.99100
255.00,3.88544
256.00,3.93253
257.00,3.93732
258.00,3.91444
259.00,3.91350
260.00,3.89830
261.00,3.79596
262.00,3.91908
263.00,3.94438
264.00,3.86246
265.00,3.95396
266.00,3.80090
267.00,3.85460
268.00,3.96985
269.00,3.98874
270.00,3.90828
271.00,3.87071
272.00,3.82805
273.00,3.83041
274.00,3.86256
275.00,3.95752
276.00,3.97296
277.00,3.92891
278.00,3.89204
279.00,3.90709
280.00,3.84683
281.00,3.93378
282.00,3.93890
283.00,3.92410
284.00,3.99312
285.00,3.90198
286.00,3.94495
287.00,3.92729
288.00,3.70667
289.00,3.94641
290.00,3.79063
291.00,3.74704
292.00,3.78633
293.00,3.79497
294.00,3.79520
295.00,3.92580
296.00,4.00000
297.00,3.78729
298.00,3.88686
299.00,3.83133
300.00,3.71130
301.00,3.60889
302.00,3.51997
303.00,3.31023
304.00,3.02271
305.00,2.80518
306.00,2.74435
307.00,2.84430
308.00,2.62099
309.00,2.28624
310.00,2.09969
311.00,1.96434
312.00,1.81471
313.00,1.71278
314.00,1.65169
315.00,1.57135
316.00,1.50572
317.00,1.42125
318.00,1.30251
319.00,1.24922
320.00,1.40007
321.00,1.54495
322.00,1.39551
323.00,1.15190
324.00,0.97009
325.00,0.85997
326.00,0.79457
327.00,0.73645
328.00,0.68710
329.00,0.64471
330.00,0.61018
331.00,0.57884
332.00,0.55397
333.00,0.53346
334.00,0.51424
335.00,0.49905
336.00,0.48633
337.00,0.47227
338.00,0.46234
339.00,0.45203
340.00,0.44211
341.00,0.43214
342.00,0.42191
343.00,0.41383
344.00,0.40549
345.00,0.39693
346.00,0.38820
347.00,0.38026
348.00,0.37230
349.00,0.36485
350.00,0.35699
351.00,0.34979
352.00,0.34299
353.00,0.33524
354.00,0.32877
355.00,0.32233
356.00,0.31532
357.00,0.30887
358.00,0.30183
359.00,0.29642
360.00,0.29019
361.00,0.28403
362.00,0.27812
363.00,0.27289
364.00,0.26744
365.00,0.26149
366.00,0.25630
367.00,0.25124
368.00,0.24623
369.00,0.24197
370.00,0.23784
371.00,0.23311
372.00,0.22899
373.00,0.22585
374.00,0.22141
375.00,0.21780
376.00,0.21420
377.00,0.21104
378.00,0.20709
379.00,0.20419
380.00,0.20099
381.00,0.19814
382.00,0.19495
383.00,0.19209
384.00,0.18945
385.00,0.18707
386.00,0.18449
387.00,0.18224
388.00,0.17966
389.00,0.17706
390.00,0.17500
391.00,0.17290
392.00,0.17065
393.00,0.16830
394.00,0.16621
395.00,0.16461
396.00,0.16202
397.00,0.16002
398.00,0.15807
399.00,0.15637
400.00,0.15433
401.00,0.15259
402.00,0.15065
403.00,0.14897
404.00,0.14723
405.00,0.14551
406.00,0.14375
407.00,0.14200
408.00,0.14029
409.00,0.13873
410.00,0.13707
411.00,0.13536
412.00,0.13396
413.00,0.13240
414.00,0.13081
415.00,0.12962
416.00,0.12856
417.00,0.12721
418.00,0.12578
419.00,0.12444
420.00,0.12299
421.00,0.12175
422.00,0.12061
423.00,0.11920
424.00,0.11807
425.00,0.11676
426.00,0.11559
427.00,0.11440
428.00,0.11313
429.00,0.11194
430.00,0.11093
431.00,0.10970
432.00,0.10884
433.00,0.10768
434.00,0.10649
435.00,0.10544
436.00,0.10442
437.00,0.10336
438.00,0.10245
439.00,0.10152
440.00,0.10052
441.00,0.09947
442.00,0.09850
443.00,0.09753
444.00,0.09648
445.00,0.09572
446.00,0.09474
447.00,0.09402
448.00,0.09306
449.00,0.09222
450.00,0.09148
451.00,0.09053
452.00,0.08966
453.00,0.08891
454.00,0.08800
455.00,0.08719
456.00,0.08649
457.00,0.08562
458.00,0.08475
459.00,0.08409
460.00,0.08339
461.00,0.08266
462.00,0.08185
463.00,0.08110
464.00,0.08032
465.00,0.07964
466.00,0.07903
467.00,0.07835
468.00,0.07771
469.00,0.07701
470.00,0.07629
471.00,0.07567
472.00,0.07494
473.00,0.07434
474.00,0.07367
475.00,0.07309
476.00,0.07242
477.00,0.07178
478.00,0.07130
479.00,0.07077
480.00,0.07001
481.00,0.06943
482.00,0.06888
483.00,0.06831
484.00,0.06772
485.00,0.06725
486.00,0.06667
487.00,0.06615
488.00,0.06566
489.00,0.06511
490.00,0.06451
491.00,0.06401
492.00,0.06349
493.00,0.06302
494.00,0.06253
495.00,0.06212
496.00,0.06160
497.00,0.06113
498.00,0.06068
499.00,0.06015
500.00,0.05965
