"SampleAce20_5Forg_10Flab_1 - RawData"
"Wavelength nm.","Abs."
200.00,3.67816
201.00,3.68416
202.00,3.76740
203.00,3.74706
204.00,3.87581
205.00,3.86462
206.00,3.89459
207.00,3.84251
208.00,3.90475
209.00,3.82524
210.00,3.88568
211.00,3.74010
212.00,3.78610
213.00,3.89613
214.00,3.85977
215.00,3.78200
216.00,3.85666
217.00,3.79860
218.00,3.88702
219.00,4.00000
220.00,3.87520
221.00,3.84419
222.00,3.97406
223.00,3.93466
224.00,3.81705
225.00,3.81912
226.00,3.97813
227.00,3.82434
228.00,3.93375
229.00,3.85027
230.00,3.94650
231.00,3.85054
232.00,4.00000
233.00,3.89424
234.00,3.90245
235.00,3.99652
236.00,3.96906
237.00,3.96521
238.00,3.92790
239.00,3.91588
240.00,3.92902
241.00,3.90863
242.00,3.91846
243.00,3.86565
244.00,3.91714
245.00,3.92923
246.00,3.99533
247.00,3.86307
248.00,3.94684
249.00,3.92819
250.00,3.87491
251.00,3.90755
252.00,3.99161
253.00,3.96611
254.00,3.89778
255.00,3.89360
256.00,3.94630
257.00,3.74701
258.00,3.95651
259.00,3.84444
260.00,3.90271
261.00,3.78081
262.00,3.76570
263.00,3.90723
264.00,3.87625
265.00,3.89645
266.00,3.96330
267.00,3.75317
268.00,3.91214
269.00,3.93306
270.00,3.84961
271.00,3.93990
272.00,3.77194
273.00,3.98532
274.00,3.94260
275.00,3.77901
276.00,3.79604
277.00,3.59464
278.00,3.93877
279.00,3.79340
280.00,3.82883
281.00,3.85158
282.00,3.73055
283.00,3.87454
284.00,3.79114
285.00,3.75513
286.00,3.96066
287.00,3.89973
288.00,3.96556
289.00,3.96075
290.00,3.81776
291.00,3.97650
292.00,3.79182
293.00,3.65096
294.00,3.76382
295.00,3.84264
296.00,3.68483
297.00,3.88850
298.00,3.80891
299.00,3.93768
300.00,3.81763
301.00,3.50165
302.00,3.65755
303.00,3.74780
304.00,3.71828
305.00,3.72484
306.00,3.93947
307.00,3.83429
308.00,3.71558
309.00,3.45732
310.00,3.21619
311.00,2.98112
312.00,2.63795
313.00,2.41974
314.00,2.34656
315.00,2.23380
316.00,2.11226
317.00,1.98831
318.00,1.75177
319.00,1.67342
320.00,2.06085
321.00,2.43204
322.00,2.11740
323.00,1.58907
324.00,1.22435
325.00,1.02745
326.00,0.92096
327.00,0.84090
328.00,0.77316
329.00,0.71492
330.00,0.66948
331.00,0.63118
332.00,0.60002
333.00,0.57408
334.00,0.55115
335.00,0.53206
336.00,0.51559
337.00,0.50058
338.00,0.48689
339.00,0.47350
340.00,0.46117
341.00,0.44846
342.00,0.43590
343.00,0.42465
344.00,0.41386
345.00,0.40219
346.00,0.39308
347.00,0.38225
348.00,0.37437
349.00,0.36443
350.00,0.35544
351.00,0.34743
352.00,0.33904
353.00,0.33063
354.00,0.32260
355.00,0.31487
356.00,0.30727
357.00,0.29999
358.00,0.29269
359.00,0.28537
360.00,0.27835
361.00,0.27229
362.00,0.26537
363.00,0.25867
364.00,0.25133
365.00,0.24577
366.00,0.24031
367.00,0.23534
368.00,0.23001
369.00,0.22504
370.00,0.21983
371.00,0.21515
372.00,0.21077
373.00,0.20714
374.00,0.20280
375.00,0.19933
376.00,0.19565
377.00,0.19176
378.00,0.18877
379.00,0.18529
380.00,0.18237
381.00,0.17967
382.00,0.17682
383.00,0.17416
384.00,0.17155
385.00,0.16884
386.00,0.16650
387.00,0.16444
388.00,0.16197
389.00,0.15979
390.00,0.15762
391.00,0.15573
392.00,0.15370
393.00,0.15157
394.00,0.14975
395.00,0.14803
396.00,0.14574
397.00,0.14384
398.00,0.14217
399.00,0.14063
400.00,0.13892
401.00,0.13725
402.00,0.13551
403.00,0.13387
404.00,0.13234
405.00,0.13080
406.00,0.12909
407.00,0.12755
408.00,0.12604
409.00,0.12439
410.00,0.12291
411.00,0.12154
412.00,0.12018
413.00,0.11873
414.00,0.11736
415.00,0.11607
416.00,0.11504
417.00,0.11369
418.00,0.11224
419.00,0.11111
420.00,0.10985
421.00,0.10875
422.00,0.10756
423.00,0.10637
424.00,0.10530
425.00,0.10408
426.00,0.10312
427.00,0.10197
428.00,0.10071
429.00,0.09966
430.00,0.09869
431.00,0.09758
432.00,0.09677
433.00,0.09563
434.00,0.09460
435.00,0.09370
436.00,0.09276
437.00,0.09180
438.00,0.09087
439.00,0.09000
440.00,0.08914
441.00,0.08820
442.00,0.08731
443.00,0.08636
444.00,0.08539
445.00,0.08475
446.00,0.08388
447.00,0.08304
448.00,0.08232
449.00,0.08145
450.00,0.08072
451.00,0.07990
452.00,0.07906
453.00,0.07837
454.00,0.07745
455.00,0.07683
456.00,0.07605
457.00,0.07521
458.00,0.07457
459.00,0.07390
460.00,0.07312
461.00,0.07248
462.00,0.07173
463.00,0.07109
464.00,0.07040
465.00,0.06960
466.00,0.06912
467.00,0.06845
468.00,0.06789
469.00,0.06725
470.00,0.06656
471.00,0.06599
472.00,0.06535
473.00,0.06473
474.00,0.06410
475.00,0.06357
476.00,0.06285
477.00,0.06238
478.00,0.06186
479.00,0.06126
480.00,0.06065
481.00,0.06010
482.00,0.05959
483.00,0.05905
484.00,0.05853
485.00,0.05806
486.00,0.05753
487.00,0.05708
488.00,0.05661
489.00,0.05608
490.00,0.05562
491.00,0.05511
492.00,0.05453
493.00,0.05411
494.00,0.05363
495.00,0.05322
496.00,0.05280
497.00,0.05231
498.00,0.05183
499.00,0.05142
500.00,0.05092
