"SampleAce15_10Forg_10Flab_2 - RawData"
"Wavelength nm.","Abs."
200.00,3.82117
201.00,3.87325
202.00,3.70325
203.00,3.54007
204.00,3.72906
205.00,3.81990
206.00,3.71555
207.00,3.64914
208.00,3.98293
209.00,3.93082
210.00,3.71199
211.00,4.00000
212.00,3.96713
213.00,3.92192
214.00,3.93283
215.00,4.00000
216.00,4.00000
217.00,3.81190
218.00,3.96997
219.00,3.80811
220.00,3.93135
221.00,4.00000
222.00,4.00000
223.00,4.00000
224.00,3.93736
225.00,3.91859
226.00,4.00000
227.00,3.83711
228.00,3.96391
229.00,4.00000
230.00,3.86261
231.00,3.97229
232.00,4.00000
233.00,3.97356
234.00,3.93369
235.00,4.00000
236.00,3.95758
237.00,3.95790
238.00,3.94511
239.00,3.94124
240.00,3.92123
241.00,3.95775
242.00,3.88826
243.00,3.93904
244.00,3.92499
245.00,3.82822
246.00,4.00000
247.00,4.00000
248.00,3.86755
249.00,4.00000
250.00,3.85118
251.00,3.89551
252.00,4.00000
253.00,3.98289
254.00,3.90028
255.00,3.87903
256.00,3.96989
257.00,3.85201
258.00,3.90361
259.00,4.00000
260.00,3.87793
261.00,3.96069
262.00,4.00000
263.00,3.98314
264.00,3.88560
265.00,3.90472
266.00,3.91121
267.00,3.91461
268.00,3.86546
269.00,3.95743
270.00,3.94128
271.00,3.83527
272.00,3.80687
273.00,3.81108
274.00,3.93887
275.00,3.84450
276.00,3.93297
277.00,3.95038
278.00,3.86707
279.00,3.86682
280.00,3.78343
281.00,3.78203
282.00,3.92134
283.00,3.86275
284.00,3.85254
285.00,3.92389
286.00,3.87726
287.00,3.83221
288.00,3.98059
289.00,3.86145
290.00,3.82372
291.00,4.00000
292.00,4.00000
293.00,3.84477
294.00,3.89082
295.00,3.89932
296.00,3.75360
297.00,3.99333
298.00,3.91411
299.00,3.95576
300.00,3.71033
301.00,3.96654
302.00,3.80106
303.00,3.72295
304.00,3.60913
305.00,3.69095
306.00,3.71548
307.00,3.62811
308.00,3.50766
309.00,3.61974
310.00,3.59499
311.00,3.87466
312.00,3.63351
313.00,3.48309
314.00,3.41649
315.00,3.37169
316.00,3.25713
317.00,2.88902
318.00,2.55978
319.00,2.33170
320.00,3.04478
321.00,3.55792
322.00,3.12219
323.00,2.24336
324.00,1.68066
325.00,1.37627
326.00,1.20784
327.00,1.08385
328.00,0.97955
329.00,0.88649
330.00,0.81639
331.00,0.75650
332.00,0.71172
333.00,0.67458
334.00,0.64413
335.00,0.62038
336.00,0.60063
337.00,0.57967
338.00,0.56343
339.00,0.54655
340.00,0.53023
341.00,0.51387
342.00,0.49797
343.00,0.48259
344.00,0.46913
345.00,0.45645
346.00,0.44270
347.00,0.43059
348.00,0.42062
349.00,0.40935
350.00,0.39906
351.00,0.38986
352.00,0.37988
353.00,0.36952
354.00,0.36099
355.00,0.35080
356.00,0.34250
357.00,0.33345
358.00,0.32530
359.00,0.31723
360.00,0.30847
361.00,0.30125
362.00,0.29308
363.00,0.28580
364.00,0.27821
365.00,0.27191
366.00,0.26480
367.00,0.25842
368.00,0.25346
369.00,0.24756
370.00,0.24234
371.00,0.23654
372.00,0.23131
373.00,0.22723
374.00,0.22189
375.00,0.21779
376.00,0.21365
377.00,0.20990
378.00,0.20593
379.00,0.20230
380.00,0.19891
381.00,0.19551
382.00,0.19241
383.00,0.18916
384.00,0.18617
385.00,0.18355
386.00,0.18088
387.00,0.17856
388.00,0.17638
389.00,0.17346
390.00,0.17101
391.00,0.16901
392.00,0.16640
393.00,0.16420
394.00,0.16208
395.00,0.16005
396.00,0.15776
397.00,0.15573
398.00,0.15364
399.00,0.15187
400.00,0.14970
401.00,0.14809
402.00,0.14621
403.00,0.14455
404.00,0.14279
405.00,0.14110
406.00,0.13948
407.00,0.13753
408.00,0.13591
409.00,0.13431
410.00,0.13258
411.00,0.13107
412.00,0.12952
413.00,0.12804
414.00,0.12643
415.00,0.12509
416.00,0.12383
417.00,0.12245
418.00,0.12094
419.00,0.11963
420.00,0.11832
421.00,0.11697
422.00,0.11569
423.00,0.11440
424.00,0.11337
425.00,0.11205
426.00,0.11086
427.00,0.10962
428.00,0.10823
429.00,0.10713
430.00,0.10608
431.00,0.10500
432.00,0.10393
433.00,0.10286
434.00,0.10170
435.00,0.10062
436.00,0.09958
437.00,0.09845
438.00,0.09753
439.00,0.09668
440.00,0.09570
441.00,0.09476
442.00,0.09378
443.00,0.09283
444.00,0.09175
445.00,0.09090
446.00,0.08992
447.00,0.08913
448.00,0.08821
449.00,0.08746
450.00,0.08664
451.00,0.08563
452.00,0.08490
453.00,0.08411
454.00,0.08318
455.00,0.08231
456.00,0.08154
457.00,0.08081
458.00,0.07997
459.00,0.07922
460.00,0.07848
461.00,0.07771
462.00,0.07689
463.00,0.07620
464.00,0.07549
465.00,0.07477
466.00,0.07404
467.00,0.07341
468.00,0.07277
469.00,0.07207
470.00,0.07138
471.00,0.07072
472.00,0.07001
473.00,0.06937
474.00,0.06877
475.00,0.06815
476.00,0.06738
477.00,0.06680
478.00,0.06625
479.00,0.06569
480.00,0.06502
481.00,0.06442
482.00,0.06383
483.00,0.06323
484.00,0.06268
485.00,0.06218
486.00,0.06155
487.00,0.06111
488.00,0.06061
489.00,0.06001
490.00,0.05952
491.00,0.05902
492.00,0.05843
493.00,0.05794
494.00,0.05739
495.00,0.05698
496.00,0.05646
497.00,0.05606
498.00,0.05548
499.00,0.05504
500.00,0.05453
