"SampleAce20_5Forg_10Flab_2 - RawData"
"Wavelength nm.","Abs."
200.00,4.00000
201.00,3.70818
202.00,3.88066
203.00,3.78566
204.00,3.82530
205.00,3.84796
206.00,3.86011
207.00,3.93451
208.00,3.78102
209.00,3.68857
210.00,3.74170
211.00,3.97382
212.00,3.76305
213.00,3.89777
214.00,3.86815
215.00,3.92755
216.00,3.84839
217.00,3.83365
218.00,3.96783
219.00,3.96298
220.00,3.82394
221.00,3.84821
222.00,3.89610
223.00,3.85191
224.00,3.88005
225.00,3.90565
226.00,3.78754
227.00,3.92574
228.00,3.94341
229.00,3.88513
230.00,3.94458
231.00,3.94142
232.00,3.83928
233.00,3.95406
234.00,3.97171
235.00,3.84097
236.00,3.91660
237.00,3.93939
238.00,3.98573
239.00,4.00000
240.00,3.97517
241.00,3.99704
242.00,4.00000
243.00,3.86209
244.00,3.83791
245.00,3.98695
246.00,3.96597
247.00,3.91217
248.00,3.84512
249.00,4.00000
250.00,3.97748
251.00,3.87439
252.00,4.00000
253.00,3.95714
254.00,3.89314
255.00,3.95988
256.00,3.95680
257.00,3.76852
258.00,3.76779
259.00,4.00000
260.00,3.87575
261.00,3.93033
262.00,3.85507
263.00,3.81186
264.00,3.85088
265.00,3.90564
266.00,3.93884
267.00,4.00000
268.00,3.86482
269.00,3.87260
270.00,3.87881
271.00,3.84511
272.00,3.98607
273.00,3.88808
274.00,3.89941
275.00,4.00000
276.00,3.81384
277.00,3.81763
278.00,3.94969
279.00,3.90073
280.00,3.87209
281.00,3.84576
282.00,3.91594
283.00,4.00000
284.00,3.81288
285.00,3.90733
286.00,3.68575
287.00,3.86464
288.00,3.96910
289.00,3.82996
290.00,4.00000
291.00,3.72983
292.00,3.96881
293.00,3.89601
294.00,3.97665
295.00,3.81578
296.00,3.94617
297.00,3.84883
298.00,3.92804
299.00,3.74825
300.00,3.97153
301.00,3.82416
302.00,3.78345
303.00,3.76822
304.00,3.73370
305.00,3.61725
306.00,3.77844
307.00,3.68581
308.00,3.65785
309.00,3.71196
310.00,3.09895
311.00,3.12665
312.00,2.69498
313.00,2.44296
314.00,2.33095
315.00,2.23355
316.00,2.12794
317.00,1.98816
318.00,1.76167
319.00,1.67494
320.00,2.04724
321.00,2.43318
322.00,2.11075
323.00,1.60106
324.00,1.22701
325.00,1.02924
326.00,0.92226
327.00,0.84184
328.00,0.77455
329.00,0.71616
330.00,0.67053
331.00,0.63177
332.00,0.60056
333.00,0.57416
334.00,0.55063
335.00,0.53354
336.00,0.51611
337.00,0.50150
338.00,0.48753
339.00,0.47398
340.00,0.46211
341.00,0.44791
342.00,0.43665
343.00,0.42462
344.00,0.41423
345.00,0.40335
346.00,0.39232
347.00,0.38393
348.00,0.37405
349.00,0.36519
350.00,0.35535
351.00,0.34802
352.00,0.33849
353.00,0.32999
354.00,0.32292
355.00,0.31563
356.00,0.30779
357.00,0.30054
358.00,0.29243
359.00,0.28537
360.00,0.27870
361.00,0.27205
362.00,0.26492
363.00,0.25941
364.00,0.25238
365.00,0.24657
366.00,0.24127
367.00,0.23561
368.00,0.22969
369.00,0.22466
370.00,0.22009
371.00,0.21501
372.00,0.21165
373.00,0.20743
374.00,0.20349
375.00,0.19946
376.00,0.19560
377.00,0.19180
378.00,0.18864
379.00,0.18581
380.00,0.18256
381.00,0.18002
382.00,0.17703
383.00,0.17375
384.00,0.17178
385.00,0.16895
386.00,0.16631
387.00,0.16467
388.00,0.16228
389.00,0.16016
390.00,0.15804
391.00,0.15608
392.00,0.15363
393.00,0.15179
394.00,0.14990
395.00,0.14798
396.00,0.14594
397.00,0.14409
398.00,0.14220
399.00,0.14098
400.00,0.13889
401.00,0.13716
402.00,0.13553
403.00,0.13396
404.00,0.13239
405.00,0.13083
406.00,0.12941
407.00,0.12761
408.00,0.12617
409.00,0.12453
410.00,0.12318
411.00,0.12180
412.00,0.12033
413.00,0.11899
414.00,0.11749
415.00,0.11617
416.00,0.11510
417.00,0.11371
418.00,0.11240
419.00,0.11125
420.00,0.11008
421.00,0.10889
422.00,0.10760
423.00,0.10646
424.00,0.10536
425.00,0.10416
426.00,0.10313
427.00,0.10205
428.00,0.10083
429.00,0.09988
430.00,0.09872
431.00,0.09775
432.00,0.09683
433.00,0.09561
434.00,0.09474
435.00,0.09370
436.00,0.09270
437.00,0.09177
438.00,0.09097
439.00,0.08994
440.00,0.08913
441.00,0.08817
442.00,0.08730
443.00,0.08635
444.00,0.08533
445.00,0.08473
446.00,0.08379
447.00,0.08302
448.00,0.08218
449.00,0.08139
450.00,0.08063
451.00,0.07979
452.00,0.07903
453.00,0.07831
454.00,0.07745
455.00,0.07672
456.00,0.07603
457.00,0.07526
458.00,0.07454
459.00,0.07378
460.00,0.07301
461.00,0.07242
462.00,0.07173
463.00,0.07097
464.00,0.07027
465.00,0.06961
466.00,0.06906
467.00,0.06851
468.00,0.06778
469.00,0.06712
470.00,0.06645
471.00,0.06587
472.00,0.06519
473.00,0.06459
474.00,0.06407
475.00,0.06345
476.00,0.06287
477.00,0.06229
478.00,0.06171
479.00,0.06119
480.00,0.06052
481.00,0.06003
482.00,0.05946
483.00,0.05899
484.00,0.05844
485.00,0.05800
486.00,0.05742
487.00,0.05698
488.00,0.05647
489.00,0.05594
490.00,0.05544
491.00,0.05499
492.00,0.05452
493.00,0.05399
494.00,0.05362
495.00,0.05312
496.00,0.05267
497.00,0.05223
498.00,0.05174
499.00,0.05125
500.00,0.05089
