"SampleAce20_10Forg_10Flab_3 - RawData"
"Wavelength nm.","Abs."
200.00,4.00000
201.00,3.80399
202.00,3.71248
203.00,3.98903
204.00,3.66655
205.00,3.86613
206.00,3.91998
207.00,3.94968
208.00,3.70485
209.00,3.80386
210.00,3.65759
211.00,3.97353
212.00,3.85843
213.00,3.72948
214.00,3.86000
215.00,3.91476
216.00,3.89633
217.00,3.84288
218.00,4.00000
219.00,3.81361
220.00,3.94392
221.00,3.99358
222.00,3.81282
223.00,3.94446
224.00,3.92323
225.00,3.98665
226.00,3.99925
227.00,3.95383
228.00,4.00000
229.00,3.96648
230.00,3.96198
231.00,3.90404
232.00,3.92090
233.00,3.88358
234.00,3.88747
235.00,3.91034
236.00,4.00000
237.00,3.98843
238.00,4.00000
239.00,3.96748
240.00,3.92740
241.00,3.95831
242.00,3.99701
243.00,4.00000
244.00,3.99269
245.00,3.80524
246.00,4.00000
247.00,3.88002
248.00,3.99425
249.00,3.96194
250.00,3.96114
251.00,3.85616
252.00,3.88588
253.00,3.78928
254.00,3.85019
255.00,3.96736
256.00,3.91237
257.00,3.89238
258.00,3.93608
259.00,3.97513
260.00,3.91420
261.00,3.89041
262.00,3.90236
263.00,3.82553
264.00,3.91336
265.00,3.75464
266.00,3.83556
267.00,3.85199
268.00,3.92503
269.00,3.93771
270.00,3.90727
271.00,3.74605
272.00,3.95860
273.00,3.96529
274.00,3.93724
275.00,3.90962
276.00,3.89790
277.00,3.84174
278.00,3.87363
279.00,3.84441
280.00,3.92476
281.00,3.96762
282.00,3.93745
283.00,3.91339
284.00,3.86661
285.00,4.00000
286.00,3.89575
287.00,3.71884
288.00,3.87103
289.00,3.87869
290.00,3.82347
291.00,3.94919
292.00,3.71240
293.00,3.92905
294.00,3.83617
295.00,3.88042
296.00,3.84525
297.00,3.74429
298.00,3.82950
299.00,3.82697
300.00,3.86456
301.00,3.84532
302.00,3.74686
303.00,3.73233
304.00,3.86246
305.00,3.83879
306.00,3.71983
307.00,3.62369
308.00,3.60722
309.00,3.81624
310.00,3.82924
311.00,3.89345
312.00,3.80312
313.00,3.73605
314.00,3.71709
315.00,3.60938
316.00,3.46681
317.00,3.21008
318.00,2.59061
319.00,2.44864
320.00,3.15331
321.00,3.82245
322.00,3.43599
323.00,2.38734
324.00,1.70253
325.00,1.35385
326.00,1.17203
327.00,1.04010
328.00,0.92888
329.00,0.83232
330.00,0.76082
331.00,0.70352
332.00,0.65846
333.00,0.62471
334.00,0.59589
335.00,0.57303
336.00,0.55408
337.00,0.53632
338.00,0.52075
339.00,0.50591
340.00,0.49100
341.00,0.47495
342.00,0.46019
343.00,0.44798
344.00,0.43541
345.00,0.42342
346.00,0.41148
347.00,0.40172
348.00,0.39183
349.00,0.38173
350.00,0.37270
351.00,0.36523
352.00,0.35622
353.00,0.34668
354.00,0.33983
355.00,0.33113
356.00,0.32436
357.00,0.31729
358.00,0.30980
359.00,0.30283
360.00,0.29529
361.00,0.28876
362.00,0.28233
363.00,0.27554
364.00,0.26923
365.00,0.26219
366.00,0.25626
367.00,0.25105
368.00,0.24696
369.00,0.24062
370.00,0.23578
371.00,0.23079
372.00,0.22662
373.00,0.22301
374.00,0.21852
375.00,0.21420
376.00,0.21071
377.00,0.20729
378.00,0.20352
379.00,0.20023
380.00,0.19662
381.00,0.19400
382.00,0.19089
383.00,0.18794
384.00,0.18529
385.00,0.18265
386.00,0.17987
387.00,0.17749
388.00,0.17551
389.00,0.17284
390.00,0.17032
391.00,0.16830
392.00,0.16595
393.00,0.16394
394.00,0.16190
395.00,0.15976
396.00,0.15755
397.00,0.15553
398.00,0.15340
399.00,0.15181
400.00,0.14969
401.00,0.14795
402.00,0.14610
403.00,0.14442
404.00,0.14268
405.00,0.14095
406.00,0.13919
407.00,0.13756
408.00,0.13596
409.00,0.13432
410.00,0.13277
411.00,0.13124
412.00,0.12953
413.00,0.12807
414.00,0.12653
415.00,0.12531
416.00,0.12428
417.00,0.12312
418.00,0.12158
419.00,0.12035
420.00,0.11900
421.00,0.11765
422.00,0.11641
423.00,0.11520
424.00,0.11400
425.00,0.11266
426.00,0.11150
427.00,0.11044
428.00,0.10905
429.00,0.10782
430.00,0.10678
431.00,0.10562
432.00,0.10472
433.00,0.10364
434.00,0.10249
435.00,0.10135
436.00,0.10042
437.00,0.09933
438.00,0.09840
439.00,0.09749
440.00,0.09654
441.00,0.09560
442.00,0.09464
443.00,0.09349
444.00,0.09254
445.00,0.09180
446.00,0.09076
447.00,0.09009
448.00,0.08904
449.00,0.08830
450.00,0.08748
451.00,0.08661
452.00,0.08575
453.00,0.08496
454.00,0.08405
455.00,0.08319
456.00,0.08260
457.00,0.08167
458.00,0.08090
459.00,0.08017
460.00,0.07936
461.00,0.07867
462.00,0.07784
463.00,0.07715
464.00,0.07646
465.00,0.07568
466.00,0.07509
467.00,0.07443
468.00,0.07368
469.00,0.07303
470.00,0.07239
471.00,0.07173
472.00,0.07108
473.00,0.07036
474.00,0.06975
475.00,0.06909
476.00,0.06845
477.00,0.06783
478.00,0.06728
479.00,0.06674
480.00,0.06604
481.00,0.06546
482.00,0.06488
483.00,0.06433
484.00,0.06374
485.00,0.06326
486.00,0.06273
487.00,0.06219
488.00,0.06172
489.00,0.06119
490.00,0.06070
491.00,0.06013
492.00,0.05960
493.00,0.05905
494.00,0.05859
495.00,0.05814
496.00,0.05766
497.00,0.05716
498.00,0.05664
499.00,0.05618
500.00,0.05569
