"SampleAce10_10Forg_10Flab_1 - RawData"
"Wavelength nm.","Abs."
200.00,3.66106
201.00,3.84619
202.00,3.69077
203.00,3.67917
204.00,3.86505
205.00,3.73669
206.00,3.71266
207.00,3.66321
208.00,3.74939
209.00,3.87944
210.00,3.86630
211.00,3.91438
212.00,3.88802
213.00,3.92789
214.00,3.88551
215.00,3.89670
216.00,3.84557
217.00,3.93398
218.00,3.77327
219.00,3.90425
220.00,3.99327
221.00,3.98305
222.00,3.94072
223.00,3.89426
224.00,3.95851
225.00,3.98688
226.00,3.98926
227.00,3.92033
228.00,4.00000
229.00,3.91812
230.00,3.95496
231.00,3.94774
232.00,3.97333
233.00,3.83780
234.00,3.92119
235.00,3.95053
236.00,3.97537
237.00,3.87762
238.00,3.97066
239.00,3.94725
240.00,3.90552
241.00,3.94337
242.00,3.88997
243.00,3.85904
244.00,3.99702
245.00,3.90901
246.00,3.93399
247.00,4.00000
248.00,3.81703
249.00,3.92950
250.00,3.97780
251.00,3.88358
252.00,3.96722
253.00,3.91336
254.00,3.84096
255.00,3.82997
256.00,3.87720
257.00,3.96622
258.00,3.95563
259.00,3.90990
260.00,3.97002
261.00,3.88370
262.00,3.90091
263.00,3.92287
264.00,3.85516
265.00,3.83176
266.00,4.00000
267.00,3.94722
268.00,3.84084
269.00,4.00000
270.00,3.80978
271.00,3.95413
272.00,3.95914
273.00,3.87820
274.00,3.87068
275.00,3.89793
276.00,3.98428
277.00,3.96759
278.00,3.88622
279.00,3.74355
280.00,3.69078
281.00,3.68275
282.00,3.86067
283.00,3.84833
284.00,3.82487
285.00,4.00000
286.00,3.71640
287.00,3.76396
288.00,3.96140
289.00,3.79076
290.00,3.96555
291.00,3.98045
292.00,3.81502
293.00,3.89722
294.00,3.67058
295.00,3.96921
296.00,3.76080
297.00,3.93800
298.00,3.93750
299.00,3.82281
300.00,3.79999
301.00,3.92250
302.00,3.89417
303.00,3.82201
304.00,3.55423
305.00,3.96997
306.00,3.69699
307.00,3.45351
308.00,3.53983
309.00,3.64487
310.00,3.57712
311.00,3.44411
312.00,2.89003
313.00,2.72366
314.00,2.58804
315.00,2.49435
316.00,2.37650
317.00,2.18149
318.00,1.94450
319.00,1.87482
320.00,2.20882
321.00,2.43925
322.00,2.20628
323.00,1.71448
324.00,1.37189
325.00,1.17084
326.00,1.04581
327.00,0.93494
328.00,0.84256
329.00,0.76526
330.00,0.70349
331.00,0.65305
332.00,0.61453
333.00,0.58344
334.00,0.55777
335.00,0.53662
336.00,0.51987
337.00,0.50499
338.00,0.49057
339.00,0.47858
340.00,0.46712
341.00,0.45433
342.00,0.44444
343.00,0.43338
344.00,0.42442
345.00,0.41399
346.00,0.40521
347.00,0.39565
348.00,0.38780
349.00,0.37877
350.00,0.36957
351.00,0.36287
352.00,0.35437
353.00,0.34648
354.00,0.33838
355.00,0.33076
356.00,0.32408
357.00,0.31616
358.00,0.30969
359.00,0.30173
360.00,0.29575
361.00,0.28880
362.00,0.28238
363.00,0.27635
364.00,0.26959
365.00,0.26340
366.00,0.25722
367.00,0.25258
368.00,0.24754
369.00,0.24156
370.00,0.23720
371.00,0.23227
372.00,0.22845
373.00,0.22453
374.00,0.21968
375.00,0.21539
376.00,0.21179
377.00,0.20827
378.00,0.20439
379.00,0.20148
380.00,0.19778
381.00,0.19524
382.00,0.19203
383.00,0.18895
384.00,0.18643
385.00,0.18359
386.00,0.18088
387.00,0.17841
388.00,0.17619
389.00,0.17377
390.00,0.17125
391.00,0.16913
392.00,0.16649
393.00,0.16429
394.00,0.16217
395.00,0.16010
396.00,0.15790
397.00,0.15604
398.00,0.15385
399.00,0.15210
400.00,0.15013
401.00,0.14827
402.00,0.14635
403.00,0.14447
404.00,0.14291
405.00,0.14117
406.00,0.13942
407.00,0.13768
408.00,0.13606
409.00,0.13443
410.00,0.13257
411.00,0.13113
412.00,0.12950
413.00,0.12790
414.00,0.12636
415.00,0.12512
416.00,0.12411
417.00,0.12277
418.00,0.12131
419.00,0.12004
420.00,0.11876
421.00,0.11732
422.00,0.11598
423.00,0.11467
424.00,0.11353
425.00,0.11218
426.00,0.11095
427.00,0.10982
428.00,0.10849
429.00,0.10742
430.00,0.10623
431.00,0.10503
432.00,0.10405
433.00,0.10289
434.00,0.10178
435.00,0.10069
436.00,0.09976
437.00,0.09857
438.00,0.09763
439.00,0.09666
440.00,0.09573
441.00,0.09473
442.00,0.09373
443.00,0.09268
444.00,0.09175
445.00,0.09085
446.00,0.08995
447.00,0.08908
448.00,0.08818
449.00,0.08734
450.00,0.08655
451.00,0.08556
452.00,0.08476
453.00,0.08392
454.00,0.08304
455.00,0.08223
456.00,0.08151
457.00,0.08064
458.00,0.07983
459.00,0.07912
460.00,0.07835
461.00,0.07759
462.00,0.07677
463.00,0.07603
464.00,0.07532
465.00,0.07452
466.00,0.07402
467.00,0.07335
468.00,0.07260
469.00,0.07188
470.00,0.07120
471.00,0.07059
472.00,0.06987
473.00,0.06926
474.00,0.06859
475.00,0.06802
476.00,0.06734
477.00,0.06670
478.00,0.06616
479.00,0.06557
480.00,0.06487
481.00,0.06435
482.00,0.06377
483.00,0.06317
484.00,0.06264
485.00,0.06215
486.00,0.06154
487.00,0.06104
488.00,0.06055
489.00,0.05994
490.00,0.05946
491.00,0.05891
492.00,0.05841
493.00,0.05794
494.00,0.05745
495.00,0.05698
496.00,0.05649
497.00,0.05600
498.00,0.05544
499.00,0.05496
500.00,0.05453
