"SampleAce10_10Forg_10Flab_2 - RawData"
"Wavelength nm.","Abs."
200.00,3.43797
201.00,4.00000
202.00,3.82841
203.00,3.88052
204.00,3.81119
205.00,3.97249
206.00,3.83914
207.00,3.83577
208.00,3.69312
209.00,3.81732
210.00,3.76883
211.00,3.72548
212.00,3.95802
213.00,3.86063
214.00,3.80922
215.00,4.00000
216.00,3.95169
217.00,3.89877
218.00,3.96013
219.00,3.91890
220.00,3.87761
221.00,3.84319
222.00,3.87735
223.00,3.83640
224.00,3.99792
225.00,3.97888
226.00,3.93452
227.00,3.93031
228.00,3.88068
229.00,4.00000
230.00,3.98466
231.00,3.93379
232.00,3.97324
233.00,3.99182
234.00,3.96451
235.00,3.94492
236.00,4.00000
237.00,3.99788
238.00,3.96184
239.00,3.97807
240.00,4.00000
241.00,3.96584
242.00,3.97021
243.00,3.98579
244.00,3.96292
245.00,3.85474
246.00,3.90370
247.00,3.92465
248.00,3.85574
249.00,3.95117
250.00,3.95778
251.00,3.98433
252.00,4.00000
253.00,3.97597
254.00,3.99095
255.00,3.98161
256.00,3.95654
257.00,3.92168
258.00,3.89674
259.00,4.00000
260.00,3.97003
261.00,3.94899
262.00,3.94305
263.00,3.97729
264.00,3.88974
265.00,3.95921
266.00,3.94385
267.00,3.93642
268.00,3.96835
269.00,3.96898
270.00,3.94272
271.00,3.75090
272.00,3.79431
273.00,3.88612
274.00,3.90123
275.00,3.94136
276.00,3.87413
277.00,3.83614
278.00,3.88150
279.00,3.98322
280.00,3.93153
281.00,3.99599
282.00,3.90219
283.00,3.90291
284.00,3.99767
285.00,3.86934
286.00,3.92357
287.00,3.96069
288.00,3.87929
289.00,4.00000
290.00,3.79076
291.00,3.94069
292.00,3.82568
293.00,3.89903
294.00,3.67618
295.00,3.68056
296.00,3.70502
297.00,3.93877
298.00,3.74242
299.00,3.90392
300.00,3.95059
301.00,3.82579
302.00,3.83646
303.00,3.89659
304.00,3.71263
305.00,3.89917
306.00,3.43364
307.00,3.82254
308.00,3.86517
309.00,3.63745
310.00,3.82417
311.00,3.15814
312.00,3.01987
313.00,2.77353
314.00,2.62311
315.00,2.45866
316.00,2.37012
317.00,2.18536
318.00,1.96262
319.00,1.86838
320.00,2.16740
321.00,2.49957
322.00,2.24919
323.00,1.72861
324.00,1.38225
325.00,1.17029
326.00,1.04131
327.00,0.93465
328.00,0.84338
329.00,0.76456
330.00,0.70612
331.00,0.65512
332.00,0.61624
333.00,0.58522
334.00,0.55835
335.00,0.53763
336.00,0.52026
337.00,0.50485
338.00,0.49164
339.00,0.47960
340.00,0.46762
341.00,0.45421
342.00,0.44408
343.00,0.43324
344.00,0.42458
345.00,0.41562
346.00,0.40558
347.00,0.39682
348.00,0.38829
349.00,0.37973
350.00,0.36974
351.00,0.36343
352.00,0.35455
353.00,0.34714
354.00,0.33952
355.00,0.33224
356.00,0.32439
357.00,0.31639
358.00,0.30974
359.00,0.30255
360.00,0.29631
361.00,0.29012
362.00,0.28287
363.00,0.27650
364.00,0.27042
365.00,0.26346
366.00,0.25684
367.00,0.25189
368.00,0.24747
369.00,0.24205
370.00,0.23735
371.00,0.23291
372.00,0.22861
373.00,0.22467
374.00,0.22041
375.00,0.21620
376.00,0.21216
377.00,0.20818
378.00,0.20494
379.00,0.20189
380.00,0.19817
381.00,0.19536
382.00,0.19264
383.00,0.18913
384.00,0.18623
385.00,0.18367
386.00,0.18083
387.00,0.17882
388.00,0.17641
389.00,0.17387
390.00,0.17133
391.00,0.16911
392.00,0.16666
393.00,0.16441
394.00,0.16235
395.00,0.16031
396.00,0.15813
397.00,0.15616
398.00,0.15401
399.00,0.15236
400.00,0.15021
401.00,0.14833
402.00,0.14635
403.00,0.14487
404.00,0.14301
405.00,0.14143
406.00,0.13956
407.00,0.13780
408.00,0.13603
409.00,0.13455
410.00,0.13287
411.00,0.13132
412.00,0.12967
413.00,0.12811
414.00,0.12650
415.00,0.12523
416.00,0.12413
417.00,0.12289
418.00,0.12166
419.00,0.12027
420.00,0.11880
421.00,0.11746
422.00,0.11609
423.00,0.11484
424.00,0.11366
425.00,0.11224
426.00,0.11111
427.00,0.11003
428.00,0.10861
429.00,0.10747
430.00,0.10637
431.00,0.10522
432.00,0.10416
433.00,0.10300
434.00,0.10182
435.00,0.10078
436.00,0.09995
437.00,0.09863
438.00,0.09767
439.00,0.09679
440.00,0.09584
441.00,0.09480
442.00,0.09384
443.00,0.09285
444.00,0.09180
445.00,0.09099
446.00,0.09009
447.00,0.08917
448.00,0.08830
449.00,0.08739
450.00,0.08656
451.00,0.08560
452.00,0.08479
453.00,0.08405
454.00,0.08310
455.00,0.08231
456.00,0.08163
457.00,0.08073
458.00,0.07994
459.00,0.07918
460.00,0.07837
461.00,0.07767
462.00,0.07684
463.00,0.07613
464.00,0.07544
465.00,0.07463
466.00,0.07405
467.00,0.07341
468.00,0.07265
469.00,0.07196
470.00,0.07124
471.00,0.07063
472.00,0.06995
473.00,0.06927
474.00,0.06868
475.00,0.06805
476.00,0.06737
477.00,0.06679
478.00,0.06615
479.00,0.06551
480.00,0.06487
481.00,0.06430
482.00,0.06378
483.00,0.06325
484.00,0.06265
485.00,0.06218
486.00,0.06151
487.00,0.06107
488.00,0.06053
489.00,0.06003
490.00,0.05951
491.00,0.05902
492.00,0.05846
493.00,0.05792
494.00,0.05748
495.00,0.05702
496.00,0.05647
497.00,0.05597
498.00,0.05553
499.00,0.05502
500.00,0.05461
