"SampleAce15_5Forg_10Flab_3 - RawData"
"Wavelength nm.","Abs."
200.00,4.00000
201.00,3.41794
202.00,3.67065
203.00,3.93640
204.00,3.77844
205.00,3.87798
206.00,3.92616
207.00,3.89206
208.00,3.85376
209.00,4.00000
210.00,3.96179
211.00,3.74495
212.00,3.86353
213.00,3.91341
214.00,3.81030
215.00,3.92949
216.00,3.88393
217.00,4.00000
218.00,3.88060
219.00,3.83029
220.00,3.80219
221.00,4.00000
222.00,3.86235
223.00,3.88187
224.00,3.89485
225.00,3.95044
226.00,3.96611
227.00,3.97116
228.00,3.90070
229.00,3.91557
230.00,3.98430
231.00,3.93269
232.00,3.97266
233.00,3.91429
234.00,3.98759
235.00,3.97174
236.00,3.81696
237.00,3.84421
238.00,3.95438
239.00,4.00000
240.00,3.91415
241.00,3.90378
242.00,3.91399
243.00,3.92682
244.00,3.87721
245.00,4.00000
246.00,3.88333
247.00,3.96786
248.00,3.94832
249.00,3.90129
250.00,3.94638
251.00,3.95680
252.00,4.00000
253.00,3.92058
254.00,3.93353
255.00,3.95779
256.00,3.71387
257.00,3.93863
258.00,3.88855
259.00,3.89177
260.00,3.91855
261.00,3.87849
262.00,3.90182
263.00,3.94951
264.00,3.94641
265.00,3.96478
266.00,3.95110
267.00,3.86403
268.00,3.91551
269.00,3.71722
270.00,3.75185
271.00,4.00000
272.00,3.96593
273.00,3.85046
274.00,3.91650
275.00,3.81915
276.00,3.81544
277.00,3.86873
278.00,3.80322
279.00,3.83716
280.00,3.87610
281.00,3.87828
282.00,3.88605
283.00,3.89374
284.00,3.91975
285.00,3.92903
286.00,3.81451
287.00,3.89807
288.00,3.98061
289.00,3.94357
290.00,3.91853
291.00,4.00000
292.00,3.93965
293.00,3.98912
294.00,3.99283
295.00,3.97694
296.00,3.78462
297.00,3.78130
298.00,3.84930
299.00,3.58987
300.00,3.99690
301.00,3.87495
302.00,3.52559
303.00,3.79001
304.00,3.81894
305.00,3.84558
306.00,3.71579
307.00,3.44150
308.00,3.44357
309.00,2.94690
310.00,2.74025
311.00,2.51566
312.00,2.30894
313.00,2.14047
314.00,2.06444
315.00,1.98953
316.00,1.89552
317.00,1.78619
318.00,1.60043
319.00,1.53723
320.00,1.78824
321.00,2.05788
322.00,1.81747
323.00,1.44632
324.00,1.16338
325.00,1.00748
326.00,0.91827
327.00,0.84653
328.00,0.78329
329.00,0.72983
330.00,0.68910
331.00,0.65155
332.00,0.62003
333.00,0.59401
334.00,0.57106
335.00,0.55168
336.00,0.53519
337.00,0.51826
338.00,0.50444
339.00,0.48972
340.00,0.47687
341.00,0.46423
342.00,0.45079
343.00,0.43898
344.00,0.42717
345.00,0.41490
346.00,0.40402
347.00,0.39360
348.00,0.38342
349.00,0.37343
350.00,0.36415
351.00,0.35432
352.00,0.34552
353.00,0.33627
354.00,0.32826
355.00,0.31891
356.00,0.31047
357.00,0.30215
358.00,0.29358
359.00,0.28563
360.00,0.27846
361.00,0.27159
362.00,0.26363
363.00,0.25711
364.00,0.24966
365.00,0.24318
366.00,0.23653
367.00,0.23029
368.00,0.22504
369.00,0.21939
370.00,0.21474
371.00,0.20985
372.00,0.20502
373.00,0.20082
374.00,0.19589
375.00,0.19196
376.00,0.18840
377.00,0.18469
378.00,0.18102
379.00,0.17807
380.00,0.17496
381.00,0.17229
382.00,0.16904
383.00,0.16640
384.00,0.16405
385.00,0.16158
386.00,0.15877
387.00,0.15706
388.00,0.15477
389.00,0.15266
390.00,0.15027
391.00,0.14861
392.00,0.14644
393.00,0.14452
394.00,0.14267
395.00,0.14059
396.00,0.13892
397.00,0.13712
398.00,0.13553
399.00,0.13390
400.00,0.13205
401.00,0.13058
402.00,0.12897
403.00,0.12746
404.00,0.12596
405.00,0.12460
406.00,0.12306
407.00,0.12167
408.00,0.12009
409.00,0.11880
410.00,0.11713
411.00,0.11583
412.00,0.11453
413.00,0.11340
414.00,0.11200
415.00,0.11086
416.00,0.10974
417.00,0.10855
418.00,0.10742
419.00,0.10612
420.00,0.10500
421.00,0.10374
422.00,0.10280
423.00,0.10158
424.00,0.10059
425.00,0.09949
426.00,0.09851
427.00,0.09758
428.00,0.09642
429.00,0.09543
430.00,0.09441
431.00,0.09340
432.00,0.09258
433.00,0.09169
434.00,0.09070
435.00,0.08977
436.00,0.08897
437.00,0.08800
438.00,0.08707
439.00,0.08624
440.00,0.08554
441.00,0.08456
442.00,0.08374
443.00,0.08295
444.00,0.08188
445.00,0.08133
446.00,0.08046
447.00,0.07976
448.00,0.07884
449.00,0.07822
450.00,0.07745
451.00,0.07661
452.00,0.07596
453.00,0.07523
454.00,0.07443
455.00,0.07378
456.00,0.07310
457.00,0.07234
458.00,0.07161
459.00,0.07097
460.00,0.07030
461.00,0.06967
462.00,0.06892
463.00,0.06827
464.00,0.06770
465.00,0.06703
466.00,0.06647
467.00,0.06593
468.00,0.06528
469.00,0.06461
470.00,0.06407
471.00,0.06340
472.00,0.06285
473.00,0.06230
474.00,0.06175
475.00,0.06116
476.00,0.06056
477.00,0.05995
478.00,0.05946
479.00,0.05896
480.00,0.05835
481.00,0.05788
482.00,0.05736
483.00,0.05690
484.00,0.05638
485.00,0.05588
486.00,0.05533
487.00,0.05489
488.00,0.05446
489.00,0.05397
490.00,0.05354
491.00,0.05312
492.00,0.05263
493.00,0.05214
494.00,0.05171
495.00,0.05124
496.00,0.05089
497.00,0.05038
498.00,0.04994
499.00,0.04950
500.00,0.04910
