"SampleAce10_10Forg_10Flab_3 - RawData"
"Wavelength nm.","Abs."
200.00,3.85992
201.00,3.83942
202.00,3.55643
203.00,3.73206
204.00,3.95117
205.00,3.91618
206.00,3.70744
207.00,4.00000
208.00,3.78812
209.00,3.88181
210.00,3.96152
211.00,3.94138
212.00,3.97244
213.00,3.98080
214.00,3.87381
215.00,3.98482
216.00,3.98627
217.00,3.81950
218.00,3.97879
219.00,3.87828
220.00,3.89777
221.00,3.98325
222.00,3.95975
223.00,3.80753
224.00,3.95491
225.00,3.90211
226.00,3.88474
227.00,3.92114
228.00,3.92082
229.00,3.92416
230.00,3.94334
231.00,3.97975
232.00,3.89900
233.00,3.98706
234.00,3.96931
235.00,3.93452
236.00,3.91629
237.00,3.93263
238.00,4.00000
239.00,4.00000
240.00,3.99796
241.00,3.96461
242.00,3.94078
243.00,3.96999
244.00,4.00000
245.00,3.85442
246.00,3.97000
247.00,3.98665
248.00,3.97289
249.00,3.96240
250.00,3.93895
251.00,3.97112
252.00,3.80084
253.00,3.96967
254.00,3.87068
255.00,3.81082
256.00,3.98079
257.00,3.90114
258.00,3.94971
259.00,3.93370
260.00,3.97716
261.00,3.91895
262.00,3.87292
263.00,3.93732
264.00,3.89943
265.00,3.84804
266.00,3.91986
267.00,3.81963
268.00,3.98955
269.00,3.87422
270.00,3.85553
271.00,3.86214
272.00,3.88109
273.00,3.84248
274.00,3.96494
275.00,3.87527
276.00,3.83638
277.00,3.88890
278.00,3.86407
279.00,3.99928
280.00,3.93546
281.00,3.68787
282.00,3.88966
283.00,3.95758
284.00,3.92470
285.00,3.79164
286.00,3.92355
287.00,3.74907
288.00,3.68010
289.00,3.92584
290.00,3.70393
291.00,3.87862
292.00,3.89001
293.00,3.91333
294.00,3.82947
295.00,3.89670
296.00,3.68614
297.00,3.94121
298.00,3.66525
299.00,3.81953
300.00,3.83794
301.00,3.89256
302.00,3.88736
303.00,3.69200
304.00,3.75031
305.00,3.65829
306.00,3.87630
307.00,3.66426
308.00,3.82828
309.00,3.60992
310.00,3.34271
311.00,3.40292
312.00,3.03572
313.00,2.70050
314.00,2.61079
315.00,2.45934
316.00,2.37029
317.00,2.18484
318.00,1.95641
319.00,1.85455
320.00,2.17058
321.00,2.50717
322.00,2.22420
323.00,1.73698
324.00,1.37984
325.00,1.16914
326.00,1.04070
327.00,0.93304
328.00,0.84271
329.00,0.76521
330.00,0.70593
331.00,0.65729
332.00,0.61613
333.00,0.58441
334.00,0.55745
335.00,0.53741
336.00,0.52054
337.00,0.50475
338.00,0.49174
339.00,0.47887
340.00,0.46716
341.00,0.45546
342.00,0.44406
343.00,0.43423
344.00,0.42436
345.00,0.41486
346.00,0.40598
347.00,0.39717
348.00,0.38795
349.00,0.37830
350.00,0.37051
351.00,0.36227
352.00,0.35468
353.00,0.34657
354.00,0.33913
355.00,0.33145
356.00,0.32361
357.00,0.31664
358.00,0.30994
359.00,0.30226
360.00,0.29567
361.00,0.28993
362.00,0.28314
363.00,0.27675
364.00,0.27022
365.00,0.26387
366.00,0.25754
367.00,0.25182
368.00,0.24702
369.00,0.24237
370.00,0.23770
371.00,0.23294
372.00,0.22841
373.00,0.22386
374.00,0.21965
375.00,0.21591
376.00,0.21181
377.00,0.20840
378.00,0.20483
379.00,0.20157
380.00,0.19807
381.00,0.19530
382.00,0.19199
383.00,0.18924
384.00,0.18626
385.00,0.18382
386.00,0.18115
387.00,0.17863
388.00,0.17645
389.00,0.17360
390.00,0.17107
391.00,0.16913
392.00,0.16653
393.00,0.16446
394.00,0.16232
395.00,0.16054
396.00,0.15808
397.00,0.15623
398.00,0.15392
399.00,0.15225
400.00,0.15013
401.00,0.14815
402.00,0.14641
403.00,0.14471
404.00,0.14311
405.00,0.14130
406.00,0.13954
407.00,0.13770
408.00,0.13611
409.00,0.13441
410.00,0.13281
411.00,0.13121
412.00,0.12955
413.00,0.12799
414.00,0.12645
415.00,0.12518
416.00,0.12399
417.00,0.12289
418.00,0.12146
419.00,0.12015
420.00,0.11879
421.00,0.11737
422.00,0.11600
423.00,0.11473
424.00,0.11351
425.00,0.11235
426.00,0.11111
427.00,0.10997
428.00,0.10857
429.00,0.10747
430.00,0.10632
431.00,0.10506
432.00,0.10414
433.00,0.10292
434.00,0.10188
435.00,0.10081
436.00,0.09981
437.00,0.09866
438.00,0.09773
439.00,0.09674
440.00,0.09572
441.00,0.09474
442.00,0.09381
443.00,0.09282
444.00,0.09169
445.00,0.09096
446.00,0.08998
447.00,0.08913
448.00,0.08817
449.00,0.08734
450.00,0.08659
451.00,0.08559
452.00,0.08472
453.00,0.08403
454.00,0.08313
455.00,0.08234
456.00,0.08150
457.00,0.08064
458.00,0.07990
459.00,0.07912
460.00,0.07835
461.00,0.07765
462.00,0.07684
463.00,0.07608
464.00,0.07538
465.00,0.07463
466.00,0.07407
467.00,0.07336
468.00,0.07262
469.00,0.07185
470.00,0.07124
471.00,0.07059
472.00,0.06985
473.00,0.06924
474.00,0.06859
475.00,0.06804
476.00,0.06728
477.00,0.06671
478.00,0.06610
479.00,0.06551
480.00,0.06485
481.00,0.06427
482.00,0.06377
483.00,0.06317
484.00,0.06261
485.00,0.06203
486.00,0.06145
487.00,0.06097
488.00,0.06049
489.00,0.05994
490.00,0.05945
491.00,0.05894
492.00,0.05841
493.00,0.05785
494.00,0.05737
495.00,0.05690
496.00,0.05643
497.00,0.05589
498.00,0.05540
499.00,0.05493
500.00,0.05443
