Baseline 100%T,,Baseline 0%T,,Fresh18MohmDI-RO,,Fresh18MohmDI-RO1,,Fresh18MohmDI-RO2,,SouthTank,,SouthTank1,,SouthTank2,,NorthTank,,NorthTank1,,NorthTank2,,Target_20260713_1,,Target_20260713_2,,Target_20260713_3,,Target_2024-09-27_1,,Target_2024-09-27_2,,Target_2024-09-27_3,,Fresh18MohmDI-RO-after,,Fresh18MohmDI-RO-after1,,Fresh18MohmDI-RO-after2,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
591.0158691,79.77900696,591.0158691,0.0018651844,591.0158691,3.893424218E-005,591.0158691,1.527298991E-005,591.0158691,1.755104131E-005,591.0158691,0.000499731279,591.0158691,0.0002299282496,591.0158691,0.0001105212577,591.0158691,0.0003189804847,591.0158691,4.86683457E-005,591.0158691,0.0004961289815,591.0158691,-6.4503045E-005,591.0158691,-2.73347232E-005,591.0158691,-2.831832535E-005,591.0158691,-8.697597877E-006,591.0158691,-0.0001236655517,591.0158691,-0.0001312737877,591.0158691,-0.0001537354401,591.0158691,1.659322334E-005,591.0158691,-0.0002192505635,
590.0100098,79.79046631,590.0100098,-0.02531052195,590.0100098,-2.044943358E-005,590.0100098,1.061337662E-005,590.0100098,-5.197591236E-005,590.0100098,0.0003709748853,590.0100098,-3.665298573E-005,590.0100098,0.0001304848847,590.0100098,0.0001145605202,590.0100098,0.0001017437753,590.0100098,0.0003914945992,590.0100098,-4.193324276E-005,590.0100098,-0.0001021340213,590.0100098,-8.370715659E-005,590.0100098,-0.0001178169477,590.0100098,-0.0002257704909,590.0100098,-0.000229289144,590.0100098,-0.0001016164242,590.0100098,-0.0001331887615,590.0100098,-0.0003170391428,
589.0039063,79.81263733,589.0039063,0,589.0039063,-7.397579611E-005,589.0039063,6.319224485E-005,589.0039063,1.449616661E-006,589.0039063,0.0004815387947,589.0039063,8.723658539E-006,589.0039063,4.333527249E-005,589.0039063,0.0003871159279,589.0039063,0.0002707480744,589.0039063,0.0004107715504,589.0039063,-0.0001437468745,589.0039063,-0.0001204048313,589.0039063,-0.0002000524546,589.0039063,-0.0001361906034,589.0039063,-8.929741307E-005,589.0039063,-0.0003352491767,589.0039063,-9.866610344E-005,589.0039063,-0.0001338098373,589.0039063,-0.0001761441818,
587.9973755,79.82380676,587.9973755,-0.002619131235,587.9973755,-7.180173998E-005,587.9973755,-0.0001731426164,587.9973755,-0.0001133657424,587.9973755,0.000593089906,587.9973755,-1.760210216E-005,587.9973755,0.0001056275942,587.9973755,0.000250881596,587.9973755,0.0001274294336,587.9973755,0.0003065721539,587.9973755,-8.039437671E-005,587.9973755,-0.0001833892456,587.9973755,-0.0001041008873,587.9973755,5.335425885E-005,587.9973755,-0.0001319983712,587.9973755,-8.898683882E-005,587.9973755,-0.0001656903623,587.9973755,-8.510472253E-005,587.9973755,-0.00016180893,
586.9907837,79.84525299,586.9907837,-0.007953256369,586.9907837,4.320582957E-005,586.9907837,-9.183370275E-005,586.9907837,-0.0001119682638,586.9907837,0.0004356722056,586.9907837,9.163729374E-006,586.9907837,-9.008223969E-006,586.9907837,0.0003030750959,586.9907837,0.0003067016951,586.9907837,0.0003152501595,586.9907837,-0.0001638790272,586.9907837,-0.0003224711982,586.9907837,-0.0002654571144,586.9907837,-0.0002249943209,586.9907837,-0.0002105571912,586.9907837,-0.0001321018935,586.9907837,-8.795161557E-005,586.9907837,-0.0002380856313,586.9907837,-0.0001924971584,
585.9838867,79.88082886,585.9838867,0.01213829219,585.9838867,-1.749856165E-005,585.9838867,-1.252862785E-005,585.9838867,2.5239553E-005,585.9838867,0.0007574363844,585.9838867,0.000177873022,585.9838867,0.0003035931732,585.9838867,0.000318073784,585.9838867,0.000245805044,585.9838867,0.0003828150511,585.9838867,5.726353629E-005,585.9838867,-0.0001493363525,585.9838867,-0.0001204565924,585.9838867,4.698557314E-005,585.9838867,-0.0001903236989,585.9838867,-0.0001628439786,585.9838867,4.78893071E-006,585.9838867,-0.0001266157051,585.9838867,-9.426646284E-005,
585.0139771,79.88819885,585.0139771,-0.009288644418,585.0139771,-3.302923869E-005,585.0139771,-0.0002085390588,585.0139771,8.6907894E-005,585.0139771,0.0005584863247,585.0139771,-0.0001380020549,585.0139771,0.0001387450611,585.0139771,0.0001474456221,585.0139771,0.0002548185585,585.0139771,0.0005099940463,585.0139771,-0.0001576169452,585.0139771,-0.0003243335814,585.0139771,-0.0001541494712,585.0139771,7.587840082E-005,585.0139771,-0.0002155765978,585.0139771,-0.0001605668658,585.0139771,-8.189547952E-005,585.0139771,-9.312773182E-005,585.0139771,-7.728862693E-005,
584.0064697,79.90293884,584.0064697,-0.02241322584,584.0064697,-6.885612947E-006,584.0064697,-0.0003307484731,584.0064697,-0.0001748504001,584.0064697,0.0005043961573,584.0064697,-0.0001297210983,584.0064697,3.207389818E-005,584.0064697,0.0002724576043,584.0064697,7.978788199E-005,584.0064697,0.0002170821972,584.0064697,-0.0001602563425,584.0064697,-0.0001632579952,584.0064697,-0.000198241265,584.0064697,-0.0001640342816,584.0064697,-0.0002633357653,584.0064697,-0.0003401119611,584.0064697,-0.0002326007816,584.0064697,-5.720422268E-005,584.0064697,-0.0001334992994,
582.9988403,79.9514389,582.9988403,-0.0122626666,582.9988403,7.696579996E-005,582.9988403,-0.0001018752228,582.9988403,7.256442768E-005,582.9988403,0.0005670397659,582.9988403,-8.857274952E-005,582.9988403,0.000189837403,582.9988403,0.0003160014166,582.9988403,0.0001867556421,582.9988403,0.0005947488826,582.9988403,2.676691656E-005,582.9988403,-0.0002582651505,582.9988403,-0.0002042440319,582.9988403,-0.0001518723002,582.9988403,-0.0002324972884,582.9988403,-0.0002029503376,582.9988403,-3.768833631E-005,582.9988403,-0.0001106743002,582.9988403,-0.0001994314807,
581.9909058,79.99358368,581.9909058,-0.01094108261,581.9909058,0.0001719686406,581.9909058,-5.404653712E-005,581.9909058,7.473921869E-005,581.9909058,0.0006684757536,581.9909058,7.582661783E-005,581.9909058,0.0003014690592,581.9909058,0.0002888021991,581.9909058,0.00021464772,581.9909058,0.0003169857955,581.9909058,-2.231313192E-005,581.9909058,-0.0001316878333,581.9909058,-0.0001586520084,581.9909058,-8.283502098E-007,581.9909058,-0.0002151626395,581.9909058,3.158099616E-006,581.9909058,1.361623254E-005,581.9909058,-0.0001126928837,581.9909058,-6.553832645E-005,
